# os=Microsoft Windows 11 IoT Enterprise LTSC 10.0.26100
# build=26100
# appVersion=0.0.0
# commit=7fec83e
# startedUtc=2026-09-22T06:34:26Z
# interval=30
# mode=newest
# resolution=UHD
# monitorMode=same
# cacheAtStart=2
# ticks=200
# settingsCycles=20
# sampleIntervalSeconds=15
# tickGapSec=1
# cycleGapSec=1
Utc,ElapsedSec,Phase,TickIndex,CyclesDone,PrivateWS_MB,WS_MB,Commit_MB,Handles,Threads,GDI,USER,Window,CacheCount
2026-09-22T06:34:27Z,0,baseline,0,0,18.9,79.3,23.6,576,29,14,15,0,2
2026-09-22T06:34:36Z,9,settings,0,5,20.7,92.9,26.5,634,30,61,27,0,2
2026-09-22T06:34:46Z,19,settings,0,10,22.7,95.2,27.7,626,28,90,26,0,2
2026-09-22T06:34:56Z,29,settings,0,15,25.3,98.2,30.2,624,28,125,28,0,2
2026-09-22T06:35:05Z,39,post-settings,0,20,25.8,99.1,31.2,628,30,160,28,0,2
2026-09-22T06:35:23Z,57,ticks,8,20,30.6,106.5,36.4,666,31,167,71,1,10
2026-09-22T06:35:39Z,73,ticks,19,20,27.3,103.7,32.7,654,26,169,71,1,10
2026-09-22T06:35:55Z,89,ticks,30,20,27.8,104.5,32.8,651,26,169,71,1,10
2026-09-22T06:36:11Z,105,ticks,41,20,26.7,103.5,32.0,656,26,169,72,1,10
2026-09-22T06:36:27Z,120,ticks,49,20,27.1,104.0,32.6,655,26,169,71,1,10
2026-09-22T06:36:43Z,137,ticks,61,20,26.8,103.7,31.5,639,21,169,72,1,10
2026-09-22T06:37:01Z,155,ticks,70,20,26.4,103.3,31.2,636,20,169,72,1,10
2026-09-22T06:37:17Z,171,ticks,79,20,26.7,103.7,31.8,640,23,169,71,1,10
2026-09-22T06:37:34Z,187,ticks,90,20,26.7,103.7,31.8,637,22,169,71,1,10
2026-09-22T06:37:49Z,203,ticks,101,20,26.7,103.7,31.9,647,24,169,72,1,10
2026-09-22T06:38:05Z,218,ticks,112,20,26.7,103.7,31.8,644,23,169,72,1,10
2026-09-22T06:38:23Z,236,ticks,123,20,26.7,103.7,31.8,638,22,169,71,1,10
2026-09-22T06:38:41Z,254,ticks,134,20,26.9,103.9,31.9,635,22,169,71,1,10
2026-09-22T06:38:57Z,271,ticks,146,20,26.8,103.8,31.8,632,19,169,71,1,10
2026-09-22T06:39:15Z,288,ticks,156,20,27.7,104.7,32.8,641,23,169,71,1,10
2026-09-22T06:39:31Z,305,ticks,165,20,26.5,103.7,31.3,644,24,169,71,1,10
2026-09-22T06:39:48Z,321,ticks,177,20,27.3,104.5,32.3,651,25,169,72,1,10
2026-09-22T06:40:04Z,337,ticks,187,20,26.7,103.9,31.5,655,25,169,73,1,10
2026-09-22T06:40:20Z,354,ticks,195,20,26.6,103.9,31.4,652,24,169,72,1,10
2026-09-22T06:40:27Z,360,ticks,200,20,26.6,103.9,31.4,654,24,169,72,1,10
2026-09-22T06:40:33Z,366,post-ticks,200,20,26.8,104.1,31.8,661,25,167,32,0,10
2026-09-22T06:40:53Z,387,final,200,20,26.1,103.4,31.7,653,24,167,30,0,10
